Feature_Name,Type_Index
cbc_is_credit,target
pay_merchant_id,C
bank_encode,C
fin_risk_cloan_p_user_pboc_cust,C
pay_gateway_type_id,C
pay_city_id,C
pay_app_id,C
user_last_bankcard_idcard_area,C
sms_mobile_area_code,C
user_last_bankcard_bank_bin,C
fin_risk_resident_city_id,C
fin_pv_resent30d_most_locate_city_id,C
ups_resident_city_1,C
user_last_bankcard_bank_channel_id,C
user_last_bankcard_type_id,C
pay_bank_type_id,C
fin_pv_session_cnt_120,D
kyc_v_total_1y_cnt,D
fin_risk_cloan_credit_limit_amt,D
ups_age,D
kyc_m_user_age,D
cloan_popup_click_cnt_tot_180d,D
pay_total_reduce_money,D
fin_risk_rh_ln_bad_v2_0_prob,D
cloan_popup_click_interval_days_last,D
mt_pv_request_cnt_180d,D
pay_original_pay_money,D
cbc_last_popup_reach_days,D
fin_risk_mt_4_score,D
fin_risk_mk_credit_bank_ids_cnt,D
ups_is_realname_auth_add_days,D
fin_risk_v_user_acc_pay_cnt_360d,D
pay_order_cnt_90d,D
cbc_popup_reach_cnt_60,D
mt_pv_request_cnt_90d,D
fin_risk_cbc_last_apply_days,D
fin_pv_page_stay_time_avg_120,D
kyc_m_gender_predict,D
kyc_m_user_blank_prob,D
cbc_popup_utm_source_nunique_180,D
ups_regist_days,D
user_bankcard_bank_nunique,D
ups_first_pay_order_create_days,D
fin_risk_cloan_open_days,D
fin_pv_sequence_avg_120,D
kyc_m_ups_edu_pred,D
fin_risk_cloan_pbc_score_level,D
pay_pop_fsp_ctr_90d,D
mt_pv_page_stay_time_90d,D
fin_pv_latitude_avg_120,D
fin_pv_page_stay_time_sum_120,D
fin_pv_page_stay_time_avg_30,D
kyc_v_wx_1y_cnt,D
fin_pv_session_cnt_30,D
kyc_p_score,D
fin_pv_latitude_avg_30,D
mt_pv_request_cnt_30d,D
alipay_pay_suc_partner_order_cnt_365d,D
quickpay_pay_suc_pay_money_365d,D
kyc_v_ali_1y_cnt,D
kyc_v_past_year_active,D
cloan_popup_click_cnt_tot_90d,D
cbc_popup_landing_page_cnt_180,D
fin_risk_insurance_first_join_days,D
cbc_last_popup_base_next_days,D
kyc_m_age_grp,D
fin_pv_page_stay_time_avg_7,D
fin_pv_sequence_avg_7,D
weixin_pay_suc_pay_money_365d,D
fin_pv_recent_30d_lbs_closest_bank_distance,D
cbc_normal_entry_expose_cnt_90,D
cbc_last_enter_base_not_click_days,D
mt_pv_page_stay_time_180d,D
weekend_pay_suc_pay_money_30d,D
pay_suc_pay_money_max_180d,D
fin_risk_cbc_predict_amount_limit,D
quickpay_pay_suc_pay_money_90d,D
weekend_pay_suc_pay_money_365d,D
fin_pv_event_cnt_120,D
weekday_pay_suc_pay_money_90d,D
pay_pop_show_cnt_90d,D
fin_pv_sequence_avg_30,D
pay_suc_pay_money_max_365d,D
cbc_popup_reach_cnt_90,D
pay_pop_insure_click_cnt_90d,D
weekend_pay_suc_pay_money_180d,D
sms_send_suc_cnt_180d,D
mt_pv_session_cnt_180d,D
ups_first_quickpay_order_create_days,D
weixin_pay_suc_pay_money_60d,D
pay_last_pay_money,D
fin_pv_latitude_avg_7,D
user_last_bankcard_add_days,D
cloan_popup_expose_interval_days_last,D
fin_pv_longitude_avg_120,D
pay_money_sum_90d,D
pay_suc_pay_money_180d,D
mt_pv_page_stay_time_30d,D
weixin_pay_suc_pay_money_90d,D
fin_pv_page_id_cnt_120,D
fin_pv_longitude_avg_30,D
cbc_last_enter_self_not_submit_days,D
pay_suc_pay_money_60d,D
alipay_pay_suc_partner_order_cnt_180d,D
fin_risk_push_sensitivity,D
fin_pv_longitude_avg_7,D
cbc_normal_entry_expose_cnt_60,D
cbc_last_popup_click_days,D
sms_send_suc_cnt_90d,D
pay_pop_fsp_ctr_30d,D
weixin_pay_suc_pay_money_180d,D
kyc_v_mt_1y_cnt,D
push_send_cnt_30,D
alipay_pay_suc_pay_money_180d,D
user_last_bankcard_modified_days,D
pay_hour,D
kyc_b_is_bind_credit_card,K
fin_risk_cloan_is_applyed,K
kyc_b_is_bosc_whitelist,K
fin_risk_cloan_is_limit_approved,K
ups_is_married,K
fin_risk_is_mk_bind,K
fin_risk_cloan_is_not_apply_14,K
